Centaurea ×piifontiana
Centaurea ×plecskaënsis
Centaurea ×polymorpha
Centaurea ×pouzinii
Centaurea ×pseudopannonica
Centaurea ×pullata
Centaurea ×semiaustriaca
Centaurea ×spuria
Centaurea ×subdecurrens
Centaurea ×szollosii
Centaurea ×ternillii
Centaurea ×thaiszii
Centaurea ×varnensis
Centaurea ×wagneri
Centaurea ×zubiae
Cerastium ×richardsonii
Cerastium ×symei
Cerastium ×blyttii
Cerasus ×syodoi
Cerasus ×yedoensis
Cercidium ×sonorae
Cestrum ×cultum
Chaenomeles ×Juliet
Chaenomeles ×californica
Chaenomeles ×superba
Chamaecrista ×blanchetiformis
Chamaecrista ×patyensis
Chamaecytisus ×versicolor
Chamaesyce ×keyensis
Cheilanthes ×clevelandii-hybrid
Cheilanthes ×kurdica
Cheilanthes ×parishii
Cheilanthes ×sventenii
Cheiranthus ×cheiri
Chenopodium ×album
Chenopodium ×bontei
Chenopodium ×maroccanum
Chenopodium ×pseudostriatum
Chenopodium ×variabile
Chiloglottis ×pescottiana
Chirita ×hybrid
Chitalpa ×tashkentensis
Chloris ×subdolichostachya
Choisya ×dewitteana
Chrysanthemum ×superbum
Chrysanthemum ×(hybrid)
Chrysanthemum ×grandiflorum
Chrysanthemum ×maximum
Chrysanthemum ×morifolium
Chrysanthemum ×rubellum
Chrysanthemum ×shimotomaii
Chrysanthemum ×spectabile
Cibotium ×helenae
Cinchona ×mixtissima
Circaea ×intermedia
Cirsium ×brevifolium
Cirsium ×erisithaloides
Cirsium ×erucagineum
Cirsium ×erzincanicum
Cirsium ×gayii
Cirsium ×hemipterum
Cirsium ×hybridum
Cirsium ×iowense
Cirsium ×kelkitensis
Cirsium ×lusitanicum
Cirsium ×nezaketiae
Cirsium ×ochroleucum
Cirsium ×palustre
Cirsium ×pannonicum
Cirsium ×rigens
Cirsium ×vivantii
Cirsium ×zizianum
Cistus ×glaucus
Cistus ×hybridus
Cistus ×laxus
Cistus ×purpureus
Cistus ×albidus
Cistus ×corbariensis
Cistus ×crispus
Cistus ×delilei
Cistus ×florentinus
Cistus ×incanus
Cistus ×ladanifer
Cistus ×laurifolius
Cistus ×ledon
Cistus ×longifolius
Cistus ×monspeliensis
Cistus ×nigricans
Cistus ×obtusifolius
Cistus ×populifolius
Cistus ×pulverulentus
Cistus ×revolii
Cistus ×salvifolius
Cistus ×varius
Citharexylum ×jamaicense
Citrus ×aurantium
Citrus ×latifolia
Citrus ×limon
Citrus ×limonia
Citrus ×microcarpa
Citrus ×sinensis
Citrus ×vulgaris
Citrus ×aurantifolia
Citrus ×aurantiifolia
Citrus ×jambhiri
Citrus ×limetta
Citrus ×limettioides
Citrus ×limonellus
Citrus ×myrtifolia
Citrus ×paradisi
Citrus ×taitensis
Citrus ×tangelo
Citrus ×virgata
Clematis ×jouiniana
Clematis ×durandii
Clematis ×eriostemon
Clematis ×hybrida
Clematis ×jackmanii
Clematis ×lawsoniana
Clerodendron ×speciosum
Clerodendrum ×speciosum
Clinomicromeria ×hostii
Clivia ×cyrtanthiflora
Clivia ×nimbicola
Clowesia ×Catasetum
Coccoloba ×lundellii
Coccoloba ×boxii
Coccoloba ×hybrida
Coccoloba ×krugii
Coccoloba ×uvifera
Coccoloba ×uvifera-hotteana
Coccoloba ×uvifera-pubescens
Coespeletia ×aurantia
Coffea ×arabusta
Colchicum ×agrippinum
Colchicum ×byzantinum
Colchicum ×byzantium
Colchicum ×laetum
Columnea ×kewensis
Columnea ×euphora
Columnea ×hybrid
Columnea ×lemoinei
Colutea ×media
Colysis ×megalolepis
Colysis ×shintenensis
Coniogramme ×fauriei
Convolvulus ×despreauxii
Convolvulus ×japonicus
Conyza ×mixta
Copernicia ×burretiana
Copernicia ×escarzana
Copernicia ×oxycalyx
Coppensia ×francacesari
Coprosma ×kirkii
Coprosma ×x
Coprosma ×cunninghamii
Coprosma ×tadgellii
Coptidium ×spitsbergense
Cornus ×friedlanderi
Cornus ×unalaschkensis
Cornus ×arnoldiana
Corokia ×cheesemanii
Corokia ×virgata
Correa ×pallida
Correa ×rubra
Corybas ×miscellus
Corylus ×colurnoides
Corymbia ×chillagoensis
Corymbia ×opacula
Corymbia ×pedimontana
Corysanthes ×miscella
Cotoneaster ×antoninae
Cotoneaster ×crispii
Cotoneaster ×intermedius
Cotoneaster ×suecicus
Cotoneaster ×watereri
Crassocephalum ×picridifolium
Crataegus ×macrocarpa
Crataegus ×media
Crataegus ×albanica
Crataegus ×anomala
Crataegus ×ariifolia
Crataegus ×bornmuelleri
Crataegus ×canescens
Crataegus ×corallina-cordata
Crataegus ×crus-galli
Crataegus ×disperma
Crataegus ×dispessa
Crataegus ×grignonensis
Crataegus ×hafniensis
Crataegus ×harveyana
Crataegus ×immanis
Crataegus ×killinica
Crataegus ×kyrtostyla
Crataegus ×kyrtosyla
Crataegus ×langei
Crataegus ×lavallei
Crataegus ×lavellei
Crataegus ×microcarpa
Crataegus ×mondenensis
Crataegus ×mordenensis
Crataegus ×notha
Crataegus ×peloponnesiaca
Crataegus ×persimilis
Crataegus ×prunifolia
Crataegus ×pseudoambigua
Crataegus ×pudens
Crataegus ×sinaica
Crataegus ×subsphaerica
Crataegus ×subsphaericea
Crataegus ×vailiae
Cratageus ×macrocarpa
Crepidiastrum ×nakaii
Crepis ×foetida
Crepis ×hybrida
Crinum ×grandiflorum
Crinum ×powellii
Crinum ×amabile
Crinum ×powelii
Crocosmia ×crocosmiiflora
Crocosmia ×crocosmiflora
crocosmia ×crocosmifolia
